filename,labware_class,labware_subclass,manufacturer,total_positions,rows,columns,orientation,well_max_volume_ul,well_depth_mm,well_bottom_shape,well_top_shape,well_dx_mm,well_dy_mm,well_spacing_dx_mm,well_spacing_dy_mm,rack_dx_mm,rack_dy_mm,rack_dz_mm,stack_height_mm,connected_container,clld_capable,container_file,display_name,description,category_ids,category_names,vendor_folder,relative_path,data_type,read_only,file_type
"LargeTubeCarrierx16(100mm tubes Z offset, mock tubes).rck",carrier,,Hamilton,16,16,1,n/a,3375.0,15.0,flat,square,15.0,15.0,0.0,22.73,22.454,402.844,140.14,0.0,No,No,Nimbus\\HighDensityDeck\\MockTube.ctr,Large Tube Carrier x16 - HD - 100mm tubes - mock tubes,"High Density 16 position Large Tube Carrier (Using Avg. Tube Center of 26.613mm from top edge), Rack Base to Container Base Offset is set to accommodate 100mm tubes",30015,HD Carriers,Nimbus,"Nimbus/HighDensityDeck/LargeTubeCarrierx16(100mm tubes Z offset, mock tubes).rck",2,Yes,rck
"LargeTubeCarrierx16(125mm tubes Z offset, mock tubes).rck",carrier,,Hamilton,16,16,1,n/a,3375.0,15.0,flat,square,15.0,15.0,0.0,22.73,22.454,402.844,140.14,0.0,No,No,Nimbus\\HighDensityDeck\\MockTube.ctr,Large Tube Carrier x16 - HD - 125mm tubes - mock tubes,"High Density 16 position Large Tube Carrier (Using Avg. Tube Center of 26.613mm from top edge), Rack Base to Container Base Offset is set to accommodate 125mm tubes",30015,HD Carriers,Nimbus,"Nimbus/HighDensityDeck/LargeTubeCarrierx16(125mm tubes Z offset, mock tubes).rck",2,Yes,rck
"LargeTubeCarrierx16(75mm tubes Z offset, mock tubes).rck",carrier,,Hamilton,16,16,1,n/a,3375.0,15.0,flat,square,15.0,15.0,0.0,22.73,22.454,402.844,140.14,0.0,No,No,Nimbus\\HighDensityDeck\\MockTube.ctr,Large Tube Carrier x16 - HD - 75mm tubes - mock tubes,"High Density 16 position Large Tube Carrier (Using Avg. Tube Center of 26.613mm from top edge), Rack Base to Container Base Offset is set to accommodate 75mm tubes",30015,HD Carriers,Nimbus,"Nimbus/HighDensityDeck/LargeTubeCarrierx16(75mm tubes Z offset, mock tubes).rck",2,Yes,rck
LargeTubeCarrierx16_12x75.rck,carrier,,Hamilton,16,16,1,n/a,5172.1,73.9,round,oval,9.8,9.3,0.0,22.73,22.454,402.844,140.14,0.0,No,Yes,Nimbus\\channels\\tube12x75.ctr,Large Tube Carrier16 and 12mm x75 - HD,"High Density 16 position Large Tube Carrier, 16 and 12 x75 tubes (Using Avg. Tube Center of 26.613mm from top edge)",30015,HD Carriers,Nimbus,Nimbus/HighDensityDeck/LargeTubeCarrierx16_12x75.rck,2,Yes,rck
LargeTubeCarrierx16_15mlFalcon.rck,carrier,,Hamilton,16,16,1,n/a,14183.0,105.0,round,round,15.0,15.0,0.0,22.73,22.454,402.844,140.14,0.0,No,Yes,Nimbus\\channels\\falcon15ml.ctr,Large Tube Carrier 15ml falcon tubes - HD,"High Density 16 position Large Tube Carrier, 15ml falcon tubes",30015,HD Carriers,Nimbus,Nimbus/HighDensityDeck/LargeTubeCarrierx16_15mlFalcon.rck,2,Yes,rck
LargeTubeCarrierx16_17x100.rck,carrier,,Hamilton,16,16,1,n/a,5172.1,73.9,round,oval,9.8,9.3,0.0,22.73,22.454,402.844,140.14,0.0,No,Yes,Nimbus\\channels\\tube12x75.ctr,Large Tube Carrier16 and 17mm x100 - HD,"High Density 16 position Large Tube Carrier, 16 and 12 x100 tubes (Using Avg. Tube Center of 26.613mm from top edge)",30015,HD Carriers,Nimbus,Nimbus/HighDensityDeck/LargeTubeCarrierx16_17x100.rck,2,Yes,rck
"SmallTubeCarrierx16(100mm tubes Z offset, mock tubes).rck",carrier,,Hamilton,16,16,1,n/a,3375.0,15.0,flat,square,15.0,15.0,0.0,22.73,22.454,402.844,140.14,0.0,No,No,Nimbus\\HighDensityDeck\\MockTube.ctr,Small Tube Carrier x16 - HD - 100mm tubes - mock tubes,"High Density 16 position Small Tube Carrier (Using Avg. Tube Center of 14.21mm from right edge), Rack Base to Container Base Offset is set to accommodate 100mm tubes",30015,HD Carriers,Nimbus,"Nimbus/HighDensityDeck/SmallTubeCarrierx16(100mm tubes Z offset, mock tubes).rck",2,Yes,rck
"SmallTubeCarrierx16(75mm tubes Z offset, mock tubes).rck",carrier,,Hamilton,16,16,1,n/a,3375.0,15.0,flat,square,15.0,15.0,0.0,22.73,22.454,402.844,140.14,0.0,No,No,Nimbus\\HighDensityDeck\\MockTube.ctr,Small Tube Carrier x16 - HD - 75mm tubes - mock tubes,"High Density 16 position Small Tube Carrier (Using Avg. Tube Center of 14.21mm from right edge), Rack Base to Container Base Offset is set to accommodate 75mm tubes",30015,HD Carriers,Nimbus,"Nimbus/HighDensityDeck/SmallTubeCarrierx16(75mm tubes Z offset, mock tubes).rck",2,Yes,rck
SmallTubeCarrierx16_12x75.rck,carrier,,Hamilton,16,16,1,n/a,5172.1,73.9,round,oval,9.8,9.3,0.0,22.73,22.454,402.844,140.14,0.0,No,Yes,Nimbus\\channels\\tube12x75.ctr,Small Tube Carrier 12x75mm tubes - HD,"High Density 16 position Small Tube Carrier, 12x75mm tubes (Using Avg. Tube Center of 14.21mm from right edge)",30015,HD Carriers,Nimbus,Nimbus/HighDensityDeck/SmallTubeCarrierx16_12x75.rck,2,Yes,rck
TubeCarrierx8_50mlFalcon.rck,carrier,,Hamilton,8,8,1,n/a,56494.7,100.0,round,round,27.5,27.5,0.0,43.97,44.908,402.844,107.16,0.0,No,Yes,Nimbus\\channels\\falcon50ml.ctr,Tube Carrier 50ml falcon tubes - HD,"High Density 8 position Tube Carrier, 50ml falcon tubes",30015,HD Carriers,Nimbus,Nimbus/HighDensityDeck/TubeCarrierx8_50mlFalcon.rck,2,Yes,rck
Ans_96_C18_SPE.rck,plate,deep_well,Ansys,96,12,8,portrait,1392.4,27.7,flat,round,8.0,8.0,9.0,9.0,86.0,127.0,40.0,0.0,No,No,ansys\\ans_96_c18_spe.ctr,Ans_96_C18_SPE.rck,,1003,96 positions plates,Ansys,Ansys/Ans_96_C18_SPE.rck,0,Yes,rck
Ans_96_C18_SPE_P.rck,plate,deep_well,Ansys,96,12,8,portrait,1392.4,27.7,flat,round,8.0,8.0,9.0,9.0,86.0,127.0,40.0,0.0,No,No,ansys\\ans_96_c18_spe.ctr,Ans_96_C18_SPE_P.rck,,,,Ansys,Ansys/Ans_96_C18_SPE_P.rck,0,Yes,rck
Cos_1536_10ul.rck,plate,standard,Corning-Costar,1536,32,48,landscape,20.0,5.75,round,square,1.9,1.9,2.25,2.25,127.0,86.0,10.25,8.6,No,No,corning-costar\\cos_1536_10ul.ctr,Cos_1536_10ul.rck,,1005;1015,1536 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_1536_10ul.rck,1,Yes,rck
Cos_1536_10ul_L.rck,plate,standard,Corning-Costar,1536,32,48,landscape,20.0,5.75,round,square,1.9,1.9,2.25,2.25,127.0,86.0,10.25,8.6,No,No,corning-costar\\cos_1536_10ul.ctr,Cos_1536_10ul_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_1536_10ul_L.rck,1,Yes,rck
Cos_1536_10ul_P.rck,plate,standard,Corning-Costar,1536,48,32,portrait,20.0,5.75,round,square,1.9,1.9,2.25,2.25,86.0,127.0,10.25,8.6,No,No,corning-costar\\cos_1536_10ul.ctr,Cos_1536_10ul_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_1536_10ul_P.rck,0,Yes,rck
Cos_384_DW.rck,plate,deep_well,Corning-Costar,384,16,24,landscape,240.2,24.5,round,square,3.6,2.8,4.5,4.5,127.0,86.0,28.0,25.0,No,Yes,corning-costar\\cos_384_dw.ctr,Cos_384_DW.rck,,1004;1006;1015,384 positions plates;Deep well plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_384_DW.rck,1,Yes,rck
Cos_384_DW_L.rck,plate,deep_well,Corning-Costar,384,16,24,landscape,240.2,24.5,round,square,3.6,2.8,4.5,4.5,127.0,86.0,28.0,25.0,No,Yes,corning-costar\\cos_384_dw.ctr,Cos_384_DW_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_DW_L.rck,1,Yes,rck
Cos_384_DW_P.rck,plate,deep_well,Corning-Costar,384,24,16,portrait,240.2,24.5,round,square,3.6,2.8,4.5,4.5,86.0,127.0,28.0,25.0,No,Yes,corning-costar\\Cos_384_DW.ctr,Cos_384_DW_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_DW_P.rck,0,Yes,rck
Cos_384_PCR.rck,plate,pcr,Corning-Costar,384,16,24,landscape,27.1,9.5,v-bottom,conical,3.3,3.3,4.5,4.5,127.0,86.0,16.0,0.0,No,Yes,corning-costar\\cos_384_pcr.ctr,Cos_384_PCR.rck,,1004;1010;1015,384 positions plates;PCR plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_384_PCR.rck,1,Yes,rck
Cos_384_PCR_L.rck,plate,pcr,Corning-Costar,384,16,24,landscape,27.1,9.5,v-bottom,conical,3.3,3.3,4.5,4.5,127.0,86.0,16.0,0.0,No,Yes,corning-costar\\cos_384_pcr.ctr,Cos_384_PCR_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_PCR_L.rck,1,Yes,rck
Cos_384_PCR_P.rck,plate,pcr,Corning-Costar,384,24,16,portrait,27.1,9.5,v-bottom,conical,3.3,3.3,4.5,4.5,86.0,127.0,16.0,0.0,No,Yes,corning-costar\\Cos_384_PCR.ctr,Cos_384_PCR_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_PCR_P.rck,0,Yes,rck
Cos_384_Sq.rck,plate,standard,Corning-Costar,384,16,24,landscape,141.6,11.56,flat,square,3.5,3.5,4.5,4.5,127.0,86.0,14.24,13.0,No,Yes,corning-costar\\cos_384_sq.ctr,Cos_384_Sq.rck,,1004;1015,384 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_384_Sq.rck,1,Yes,rck
